path	kind	size	lines	ext	issues	sha
.ci/RAFAELIA_ATLAS_DOMINIOS_ESPIRAL.md	text	27460	888	.md	trailing-whitespace,trailing-whitespace,trailing-whitespace	-
.ci/RAFAELIA_SESSAO_COMPLETA.md	text	16784	535	.md	-	-
.ci/files (26).zip	binary	18908	0	.zip	-	-
.ci/files (27).zip	binary	25061	0	.zip	-	-
.ci/matrixbitraf.c	text	6318	239	.c	-	-
.ci/rmr_asm_x86_64.S	text	2599	106	.s	-	-
.ci/rmr_core.h	text	5984	185	.h	-	-
.ci/sensitive-allowlist.txt	text	327	4	.txt	-	-
.firebaserc	text	55	5	<noext>	-	-
.github/FUNDING.yml	text	21	1	.yml	-	-
.github/ISSUE_TEMPLATE/bug.yaml	text	2161	81	.yaml	-	-
.github/ISSUE_TEMPLATE/bug_report.md	text	909	40	.md	-	-
.github/ISSUE_TEMPLATE/custom.md	text	201	12	.md	-	-
.github/ISSUE_TEMPLATE/enhancement.yaml	text	2133	62	.yaml	-	-
.github/ISSUE_TEMPLATE/feature_request.md	text	670	22	.md	-	-
.github/WORKFLOWS.md	text	532	16	.md	-	-
.github/actions/abi-contract-gate/action.yml	text	735	21	.yml	-	-
.github/actions/android-build-base/action.yml	text	3599	121	.yml	-	-
.github/dependabot.yml	text	466	22	.yml	-	-
.github/workflows/android-ci.yml	text	11582	309	.yml	-	-
.github/workflows/android.yml	text	6702	186	.yml	-	-
.github/workflows/archive/Androidrin.yml	text	7954	221	.yml	-	-
.github/workflows/archive/README.md	text	650	25	.md	-	-
.github/workflows/archive/android-build.yml	text	1267	45	.yml	-	-
.github/workflows/archive/android-ci-full.yml	text	6658	177	.yml	-	-
.github/workflows/archive/android-ci2.yml	text	8670	243	.yml	-	-
.github/workflows/archive/android-cipo.yml	text	2107	77	.yml	-	-
.github/workflows/archive/android-multiabi.yml	text	8357	241	.yml	-	-
.github/workflows/archive/android-multiabi2.yml	text	9263	266	.yml	-	-
.github/workflows/archive/android-multiabi3.yml	text	9180	270	.yml	-	-
.github/workflows/archive/playstore-deploy.yml	text	905	36	.yml	-	-
.github/workflows/ci.yml	text	362	21	.yml	-	-
.github/workflows/compile-matrix.yml	text	3552	118	.yml	-	-
.github/workflows/copilot-setup-steps.yml	text	424	23	.yml	-	-
.github/workflows/host-ci.yml	text	4244	127	.yml	-	-
.github/workflows/pipeline-orchestrator.yml	text	3912	114	.yml	-	-
.github/workflows/quality-gates.yml	text	2822	94	.yml	-	-
.gitignore	text	1641	99	<noext>	-	-
.java-version	text	3	1	<noext>	-	-
.mise.toml	text	24	2	.toml	-	-
33.md	text	4518	157	.md	trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
3dfx/3dfx-wrappers-2.9.5.iso	binary	792576	0	.iso	-	-
3dfx/3dfx-wrappers-3.0.0.iso	binary	1120256	0	.iso	-	-
3dfx/3dfx-wrappers-3.4.7.iso	binary	1122304	0	.iso	-	-
3dfx/3dfx-wrappers-3.5.0.iso	binary	1120256	0	.iso	-	-
3dfx/FILES_MAP.md	text	2000	31	.md	-	-
3dfx/README.md	text	705	21	.md	-	-
Agents.md	text	3196	64	.md	trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace,trailing-whitespace	-
BUILDING.md	text	10587	196	.md	-	-
CHANGELOG.md	text	3298	44	.md	-	-
CMakeLists.txt	text	11592	292	.txt	-	-
CMakePresets.json	text	3331	121	.json	-	-
COMPILATION_FIXES.md	text	1696	31	.md	-	-
DOC_INDEX.md	text	10173	98	.md	-	-
Erro.md	text	2344	36	.md	-	-
FIXES_SUMMARY.md	text	5384	89	.md	-	-
Incluir/.moveFiles para um su diretório.md	text	1	1	.md	-	-
Incluir/A incluir.md	text	11564	303	.md	trailing-whitespace	-
Incluir/APPLY_FIXES.sh	text	9331	190	.sh	-	-
Incluir/FIX_01_local-1.properties	text	1409	26	.properties	-	-
Incluir/FIX_02_google-services-1.json	text	690	29	.json	-	-
Incluir/FIX_03_sources_rmr_core-1.cmake	text	3787	103	.cmake	-	-
Incluir/FIX_04_CMakeLists-1.txt	text	13542	336	.txt	-	-
Incluir/FIX_05_app_src_main_cpp_CMakeLists-1.txt	text	9688	242	.txt	-	-
Incluir/FIX_06_CMakePresets-1.json	text	3352	116	.json	-	-
Incluir/FIX_07_rmr_unified_jni_base-1.h	text	10064	269	.h	-	-
Incluir/Mais.md	text	5839	348	.md	-	-
Incluir/Possível núcleo.md	text	5839	348	.md	-	-
Incluir/Rafael estados.md	text	15940	388	.md	trailing-whitespace	-
Incluir/Rafaeltesesmd.md	text	8929	580	.md	trailing-whitespace,trailing-whitespace	-
Incluir/Readme.md	text	275	9	.md	-	-
Incluir/Texto colado.txt	text	6434	40	.txt	CRLF,missing-final-newline	-
